x1107,x1108,x1109,x1110,x1111,x1112,x1113,x1114,x1115,x1116,x1117,x1118,x1131,x1135,x1138
26,15,26,26,21,26,26,1,1,15,27,26,1,3,26
26,20,26,26,21,26,26,22,13,20,27,19,20,1,26
2,18,3,3,1,3,15,16,18,16,3,3,18,16,3
16,1,17,17,12,17,17,1,24,19,17,17,19,1,17
26,22,26,26,21,26,26,3,3,22,27,26,3,1,26
19,1,20,20,15,20,20,1,1,24,20,20,24,1,20
6,31,7,7,3,7,7,1,1,31,7,7,30,1,7
1,6,19,19,14,19,19,1,6,10,19,19,3,1,19
33,15,9,14,9,14,9,6,35,15,6,9,1,10,14
24,15,26,26,21,26,26,19,19,15,27,1,29,1,26
4,6,23,6,18,23,33,15,1,6,23,23,6,15,23
4,12,6,6,6,6,6,20,13,12,6,6,1,3,6
26,28,21,30,1,21,26,1,1,28,21,1,27,12,21
31,1,31,31,25,31,31,1,1,1,32,31,1,22,31
1,1,22,22,1,22,22,1,1,1,22,1,1,15,22
13,1,14,14,9,14,14,1,1,1,14,14,1,19,14
1,15,26,26,19,26,26,25,1,15,27,26,15,25,26
26,1,26,26,21,26,26,1,1,1,27,26,9,3,26
21,23,3,3,1,22,22,1,22,23,3,22,3,1,22
3,1,4,4,2,4,4,1,1,1,4,4,1,5,4
16,25,17,17,19,17,17,3,1,1,17,17,1,6,17
29,8,29,29,1,29,29,1,1,8,30,29,10,1,29
13,1,14,14,1,14,15,1,1,1,14,14,1,16,14
13,1,14,14,1,14,14,1,1,1,14,1,25,1,14
11,18,12,12,7,12,6,1,1,18,12,12,1,3,12
4,25,6,6,16,21,21,9,20,25,6,6,25,22,6
3,1,4,4,1,4,4,1,1,1,4,4,1,6,4
26,1,26,26,21,26,26,1,1,1,27,26,3,1,26
1,4,17,4,1,17,4,21,12,18,4,1,18,1,4
26,1,26,26,21,26,26,1,1,1,27,26,29,1,26
13,1,14,14,9,14,14,1,1,1,14,1,3,1,14
12,21,13,13,8,13,13,1,1,21,13,13,1,19,13
4,21,6,3,15,13,20,20,20,21,6,1,3,21,6
1,33,30,8,1,30,30,9,1,1,31,30,32,15,30
14,15,15,15,10,15,15,1,1,1,15,1,3,1,15
4,1,6,6,1,6,6,1,1,1,6,6,1,4,6
18,1,19,19,14,19,19,1,1,1,19,19,1,3,19
30,1,30,30,1,30,30,1,1,1,31,1,1,6,30
26,9,26,26,21,26,26,4,9,4,27,26,1,9,26
13,31,3,14,9,3,14,15,18,31,3,3,3,31,17
7,30,8,8,1,8,14,1,1,1,8,1,15,1,8
7,1,8,8,4,8,8,1,1,1,8,8,1,6,8
1,19,1,18,13,18,18,3,1,1,18,1,1,6,18
1,1,17,17,12,17,17,1,1,1,17,17,6,3,17
1,22,2,5,1,5,5,18,5,2,17,1,22,12,5
20,18,21,21,16,14,21,3,3,22,17,21,18,1,21
20,15,21,21,16,21,21,3,1,3,21,21,1,3,21
7,9,30,30,1,30,21,1,1,9,31,1,9,22,30
7,9,14,14,4,14,14,32,1,9,14,1,1,32,14
10,1,11,11,1,11,11,1,1,1,11,11,15,3,11
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
2,31,7,3,7,7,12,13,1,1,7,7,30,13,7
2,22,3,21,16,3,21,23,23,22,3,3,3,1,21
1,1,19,19,14,19,19,1,1,1,1,1,1,10,19
1,1,14,14,9,14,14,1,1,1,14,1,1,22,14
19,13,20,20,15,20,20,1,1,21,12,1,22,12,20
11,14,12,12,8,12,12,20,20,14,12,12,14,15,12
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
26,1,1,26,21,26,26,1,1,1,27,26,15,3,26
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
1,1,6,6,1,6,6,1,1,20,6,6,35,1,6
13,19,14,14,9,14,14,1,1,19,14,1,1,3,14
11,1,12,12,7,12,12,1,1,1,12,12,1,36,12
26,1,26,26,21,26,26,1,1,1,27,1,1,18,26
26,4,26,26,21,26,26,1,4,1,27,14,18,1,26
22,1,23,23,18,23,23,1,1,1,23,1,1,15,23
13,28,14,14,21,14,14,1,1,28,14,14,27,1,14
16,1,17,17,1,17,17,1,1,22,17,26,3,1,17
16,24,17,17,12,17,17,12,1,1,17,17,24,3,17
2,32,3,30,1,3,4,4,3,32,4,1,3,4,30
14,1,15,15,10,15,15,24,1,1,15,14,1,24,15
1,1,1,28,1,28,31,1,1,1,1,1,1,15,28
13,16,14,14,9,14,14,1,1,16,14,14,1,3,14
2,4,3,3,1,3,3,23,23,4,3,1,1,18,3
26,10,26,26,21,26,26,22,1,1,27,1,3,1,26
29,1,29,29,23,4,29,1,1,1,30,29,1,4,29
20,1,21,21,1,21,21,1,1,1,21,21,1,19,21
4,20,6,6,14,6,19,1,1,1,6,1,20,1,6
20,1,21,21,16,21,21,1,1,1,21,21,1,6,21
7,1,8,8,1,8,8,1,1,1,8,8,1,3,8
11,6,12,12,7,12,12,10,20,6,12,12,15,6,12
17,19,24,24,13,18,18,1,1,19,24,24,19,3,24
10,1,11,11,6,11,11,1,1,1,11,11,22,1,11
13,18,14,14,9,14,6,12,1,6,14,14,15,1,6
14,1,15,15,10,15,14,1,1,1,15,15,1,15,15
26,9,26,26,4,26,26,6,6,28,8,26,9,22,26
7,1,8,8,4,8,8,1,1,1,8,1,1,15,8
13,16,14,14,9,14,14,1,1,1,14,14,25,3,14
11,18,12,12,7,12,12,1,1,18,12,12,1,3,12
19,1,20,20,15,20,20,1,1,1,20,20,1,18,20
1,21,6,6,1,20,20,20,1,20,6,1,22,1,6
28,9,28,28,1,28,28,1,32,9,29,28,9,1,28
1,12,3,11,6,11,11,18,18,12,3,3,12,1,3
23,30,24,24,19,24,28,1,1,30,24,24,29,9,24
11,1,12,12,7,12,12,1,1,1,12,12,1,3,12
11,1,12,12,7,12,12,1,1,1,12,9,1,6,12
13,1,14,14,9,14,14,1,1,1,14,1,1,19,14
12,21,13,13,1,13,13,6,6,21,13,13,1,6,13
1,6,30,30,1,30,30,30,6,30,31,31,1,15,30
21,1,22,22,1,22,22,1,1,1,22,22,1,15,22
2,1,3,3,18,24,3,1,1,1,3,3,26,24,3
30,1,30,30,1,30,16,1,1,1,31,30,1,3,30
13,1,14,14,9,14,14,1,1,1,14,1,1,24,14
1,1,12,12,7,12,12,1,1,1,12,12,1,3,12
7,3,8,8,4,8,8,4,1,4,8,8,1,15,8
23,1,24,24,1,24,24,1,1,1,24,24,1,15,24
1,3,17,3,12,17,17,15,1,3,17,3,3,1,17
13,25,14,14,1,14,24,1,1,25,14,14,25,1,14
7,1,8,8,1,8,8,1,1,1,8,8,1,18,8
3,1,4,4,2,4,4,1,1,1,4,4,26,1,4
20,13,21,21,16,21,21,20,20,13,21,19,22,13,1
7,9,14,8,4,14,8,25,25,15,8,8,9,1,14
29,31,12,12,1,29,29,12,12,31,12,1,5,31,12
16,1,17,17,12,17,17,1,1,3,17,17,1,3,17
26,1,26,26,21,26,26,1,1,1,27,1,15,3,26
22,3,17,17,18,17,17,24,3,24,17,17,24,1,17
28,1,28,28,22,28,28,1,1,1,29,28,1,3,28
13,19,14,14,9,14,14,1,1,1,14,14,19,3,14
1,1,12,12,7,12,12,1,1,1,12,12,22,1,12
20,22,8,21,4,8,14,1,30,9,21,8,22,1,8
4,20,6,19,1,6,21,31,31,6,19,6,20,1,6
26,1,26,26,21,26,14,1,1,1,27,26,15,1,26
3,28,4,4,2,4,4,15,1,1,27,1,1,15,4
23,1,24,24,1,24,24,1,1,1,24,1,1,3,24
13,24,14,14,19,14,14,1,1,6,14,1,1,25,14
7,9,21,21,4,21,8,1,19,9,21,1,9,1,21
20,4,21,21,16,21,21,3,25,4,21,1,1,15,21
26,1,26,26,21,26,26,1,1,1,27,1,3,1,26
16,21,17,17,12,17,17,1,12,21,17,17,1,3,17
19,21,24,12,19,24,24,24,1,1,20,12,21,15,24
4,6,17,17,12,17,17,12,5,6,17,5,3,6,17
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
1,20,6,6,27,6,6,1,20,1,6,6,1,15,6
5,1,23,23,18,23,23,1,1,24,1,23,1,3,23
1,1,26,26,21,26,26,1,1,1,27,26,1,15,26
26,28,18,26,21,18,18,1,1,19,27,18,19,3,26
1,32,17,17,12,17,30,12,1,18,2,1,31,3,17
34,1,33,33,27,33,33,1,1,1,35,34,1,15,33
13,1,26,26,21,26,26,1,1,1,27,1,18,1,26
1,19,8,18,1,8,18,25,1,1,18,1,19,1,8
26,1,26,26,21,26,26,1,1,1,27,26,1,3,26
1,22,3,21,16,21,3,1,1,1,21,1,3,1,21
10,1,11,11,1,11,11,1,1,1,11,1,31,18,11
13,1,14,14,9,14,14,1,1,1,14,14,1,24,14
1,1,14,14,1,14,14,1,1,1,14,14,1,3,14
26,1,1,26,21,26,26,1,1,1,27,26,22,15,26
20,15,21,21,16,17,21,3,15,3,21,21,3,15,21
13,1,14,14,9,14,14,1,1,1,14,14,1,27,14
30,28,30,30,24,30,30,24,1,1,31,30,1,15,30
10,18,29,11,6,11,11,1,1,18,11,11,1,6,11
13,1,14,14,9,14,14,1,1,1,14,14,3,1,14
17,1,18,18,13,21,18,1,1,1,18,18,1,22,18
2,12,3,3,6,3,11,18,18,12,3,29,12,22,3
11,1,12,12,7,12,12,1,1,1,12,1,3,1,12
13,25,14,14,19,24,14,1,1,25,14,14,25,18,14
4,6,12,12,7,12,12,18,1,6,12,6,6,1,12
31,9,31,8,4,13,8,1,27,9,32,8,32,14,8
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
13,8,20,20,15,23,20,1,20,8,20,20,15,1,20
10,18,11,11,6,11,11,3,1,3,11,11,13,22,11
26,15,26,26,21,26,26,1,1,15,27,26,15,3,26
16,12,17,17,1,17,3,1,1,2,17,1,12,1,17
29,20,29,29,23,29,29,6,20,6,30,29,1,9,29
20,1,21,21,16,21,21,1,1,1,21,21,1,9,21
23,1,24,24,19,24,24,1,1,1,24,24,1,3,24
10,18,11,11,1,17,11,1,1,1,11,1,15,18,11
1,1,26,26,21,26,26,1,1,1,27,1,1,18,26
16,1,17,17,12,17,17,1,1,2,17,1,3,1,17
13,1,14,14,9,14,14,1,1,1,14,14,1,24,14
11,1,12,12,7,12,12,1,1,1,12,12,1,3,12
13,1,14,14,1,14,14,1,1,1,14,14,1,3,14
30,22,3,3,1,3,15,16,12,22,3,1,16,12,3
23,1,24,4,19,24,4,1,4,19,24,24,4,15,24
20,1,21,21,16,21,21,1,1,1,21,21,1,9,21
1,1,23,23,18,23,23,1,1,1,23,23,1,15,23
1,18,11,11,6,11,23,3,1,1,11,11,18,3,11
16,20,17,17,12,17,17,1,15,20,17,17,20,3,17
13,25,14,14,19,14,14,24,24,25,14,1,25,1,14
6,8,4,22,3,4,7,22,20,8,4,4,8,23,4
22,30,23,23,1,23,28,1,1,24,2,28,24,1,28
1,32,8,8,4,8,8,1,1,32,8,8,1,6,8
18,28,19,19,1,6,19,3,3,9,19,1,3,1,19
2,21,3,3,15,3,20,13,21,13,3,3,21,13,3
1,19,26,26,21,26,26,1,1,19,27,1,3,1,26
1,1,20,20,15,12,17,1,1,1,20,20,13,18,20
31,4,31,31,2,31,4,1,1,1,32,18,4,3,31
1,1,23,23,18,23,23,1,1,1,23,1,3,1,23
16,22,17,17,12,17,17,3,22,6,17,17,22,9,17
31,1,31,31,25,31,31,1,1,1,32,31,18,1,31
20,30,21,21,1,21,21,3,3,30,21,21,22,18,1
23,9,24,24,19,24,24,1,1,9,24,24,27,1,24
20,18,21,21,16,21,21,1,28,18,21,21,1,3,21
23,9,24,24,4,24,8,32,32,9,24,24,9,15,24
29,3,29,29,23,29,29,13,13,3,30,29,1,16,29
16,18,1,17,12,17,17,1,16,18,14,1,15,3,17
7,4,8,8,1,8,8,30,30,4,8,8,1,4,8
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
13,1,14,14,9,14,14,1,1,1,14,1,1,31,14
18,1,19,19,14,19,30,1,1,1,19,1,31,1,19
23,1,24,24,19,24,24,1,1,1,24,24,31,15,24
16,1,17,17,12,17,17,1,1,1,17,17,1,15,17
4,16,6,15,10,6,15,20,1,1,15,1,16,1,6
17,1,18,18,1,18,18,1,1,1,18,18,1,15,18
12,33,13,13,1,13,13,1,21,33,13,13,1,33,13
16,3,17,17,12,17,17,1,1,2,17,17,3,1,17
19,33,20,20,15,20,20,6,33,1,20,20,3,33,20
14,1,14,14,10,14,15,1,1,1,14,14,1,16,14
13,35,14,14,9,14,14,1,1,1,14,14,30,1,14
22,1,23,23,18,23,23,1,1,1,23,23,1,3,23
28,24,28,28,18,24,23,4,24,4,29,4,15,24,28
22,28,23,23,18,23,23,19,19,28,23,23,15,1,23
1,5,1,5,1,5,5,19,1,1,5,5,1,6,5
7,20,14,14,4,28,14,25,1,1,14,14,29,1,14
1,22,9,8,18,14,23,24,1,10,8,1,9,24,21
1,1,30,30,1,30,30,1,1,1,31,30,1,15,30
16,1,17,17,12,17,17,24,1,2,17,1,1,6,17
18,1,1,19,14,19,19,1,10,13,19,19,13,22,19
1,28,14,14,9,14,14,1,1,28,14,14,1,28,14
3,18,4,17,2,4,17,25,25,4,17,4,9,18,4
2,18,3,3,1,3,3,1,1,18,3,1,1,18,3
1,31,9,9,14,9,9,6,20,31,9,9,5,1,9
13,26,14,14,9,14,14,1,1,26,14,14,1,24,14
26,1,26,26,21,26,26,1,1,1,27,26,15,1,26
28,1,28,24,22,28,28,1,1,1,29,28,24,28,28
13,19,14,14,13,14,21,1,1,6,14,14,19,22,14
8,6,9,9,1,9,9,20,6,20,9,1,3,6,9
11,1,12,12,7,12,12,1,1,1,12,12,3,6,12
26,1,26,26,21,26,26,1,1,1,27,1,1,3,26
12,15,13,13,8,13,13,21,1,1,13,13,6,1,13
7,1,8,8,1,8,8,1,1,1,8,8,1,32,8
26,1,26,26,21,26,26,1,1,1,27,26,15,3,26
14,1,15,15,1,15,15,1,1,1,15,15,24,1,15
19,1,20,20,15,20,20,1,1,1,20,20,6,15,20
1,14,5,5,1,5,5,1,1,14,2,5,6,1,5
12,1,13,13,8,13,13,1,1,1,13,13,1,21,13
20,4,21,21,16,21,21,3,1,4,21,21,1,3,21
13,35,14,14,9,14,14,1,1,1,14,14,1,16,14
11,25,12,12,7,12,12,21,18,20,12,12,25,1,12
13,15,23,14,18,14,23,25,25,15,23,23,24,1,14
1,15,15,15,10,15,15,1,1,1,15,15,15,30,15
12,1,13,13,8,13,13,1,1,1,13,13,1,22,13
1,1,17,17,12,17,17,1,1,1,17,17,1,3,17
23,3,24,24,19,20,24,1,1,1,24,24,1,3,24
7,20,8,8,4,8,8,1,1,20,8,8,1,3,8
13,1,14,14,1,14,14,1,1,1,14,14,1,3,14
16,1,17,17,12,17,17,1,1,22,17,17,1,3,17
17,1,18,18,13,18,18,1,1,1,18,18,1,3,18
13,20,14,14,1,14,15,12,25,6,14,1,15,16,1
26,1,26,26,21,26,26,1,1,1,27,26,15,1,26
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
26,1,26,26,21,26,26,1,1,1,27,1,18,6,26
26,1,26,26,21,26,26,1,1,1,27,26,3,15,26
6,1,14,14,9,14,14,1,1,1,14,1,1,22,14
27,1,26,26,21,26,26,1,1,1,27,26,18,22,26
21,1,22,22,1,22,14,1,1,1,22,1,1,15,22
2,1,3,3,1,3,3,1,1,1,3,1,25,24,3
23,1,24,24,19,24,24,1,1,1,24,24,1,6,24
7,1,8,8,1,8,8,1,1,1,8,1,1,22,8
13,1,14,14,9,14,14,1,1,1,14,1,1,22,14
22,25,23,24,19,2,24,1,21,24,24,24,25,1,23
1,36,3,3,27,33,33,13,13,36,3,1,35,1,3
26,15,26,26,21,26,26,1,1,15,27,1,24,1,26
19,22,20,20,1,20,21,12,1,22,20,1,22,31,20
1,25,23,23,19,23,33,19,1,2,23,1,24,15,24
1,1,14,14,9,14,14,1,1,1,14,14,18,3,14
13,1,14,14,9,14,14,1,1,1,14,1,15,18,1
26,28,14,14,21,14,26,1,1,6,14,1,27,1,14
19,1,1,20,1,20,20,1,1,1,1,20,1,15,20
22,1,23,23,18,23,23,1,1,1,23,1,1,3,23
13,1,14,14,9,14,14,1,1,1,14,1,1,6,14
2,18,3,3,1,3,3,1,1,18,3,1,1,22,3
28,12,28,28,6,28,28,19,25,12,29,28,1,12,28
26,1,26,26,21,26,26,1,1,1,27,26,1,3,26
22,33,23,23,18,1,23,1,1,2,23,1,1,3,23
13,11,14,14,1,14,14,32,25,11,14,1,1,11,14
16,4,17,17,12,17,3,3,3,4,17,17,1,3,17
1,1,12,12,7,12,12,1,1,1,12,12,1,3,12
19,22,20,21,15,20,20,3,13,22,20,20,22,1,20
14,1,15,15,10,15,15,1,1,1,15,15,1,15,15
22,25,23,23,18,23,23,1,1,2,23,23,25,1,23
26,1,26,26,21,26,26,1,1,1,27,26,29,16,26
30,1,30,30,1,30,30,1,1,9,31,30,1,9,30
1,1,20,20,15,20,20,1,1,1,20,20,1,3,20
20,16,14,14,16,14,23,1,1,16,14,14,1,16,14
1,22,26,26,1,26,26,1,1,22,27,26,22,1,26
11,10,12,12,7,6,12,20,20,10,12,1,1,6,12
28,1,28,28,1,14,21,1,1,1,29,28,15,1,28
14,1,15,15,1,15,15,1,1,1,15,15,15,1,15
13,1,14,14,15,14,14,1,1,1,14,1,1,3,14
13,25,14,14,9,14,14,1,1,25,14,1,1,6,14
3,1,4,4,2,4,4,1,1,1,1,4,19,1,4
4,20,6,6,14,6,4,1,1,20,6,6,1,20,6
2,18,3,3,1,3,3,1,1,18,3,3,1,15,3
13,1,14,14,9,14,14,1,1,1,14,1,1,18,14
26,28,3,26,21,26,26,22,22,28,3,26,3,1,26
26,15,26,26,21,26,26,1,1,15,27,26,15,25,26
13,22,14,14,9,14,14,1,18,22,14,6,15,3,1
20,1,21,21,16,21,21,1,1,3,21,21,22,18,1
16,9,17,17,15,17,20,1,21,9,17,17,1,21,17
1,25,28,28,1,28,28,9,9,25,29,1,25,15,28
26,19,26,26,21,26,26,15,1,1,27,26,19,32,26
23,19,24,24,19,24,24,16,16,19,24,1,3,1,24
16,21,17,17,1,17,17,3,12,21,17,17,12,21,17
26,1,26,26,21,26,26,1,1,1,27,26,1,6,26
23,15,24,24,19,24,24,1,1,15,24,24,15,1,24
22,18,1,17,18,23,11,1,27,34,23,23,18,27,23
16,27,17,17,12,17,17,21,1,2,17,1,1,13,17
20,5,21,21,6,21,21,21,5,21,21,21,1,5,21
13,1,14,14,18,14,23,1,1,1,14,1,24,3,14
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
1,12,14,14,6,14,21,19,19,12,14,1,1,12,14
19,1,20,20,1,20,20,1,1,1,20,20,1,15,20
17,1,18,18,13,18,18,1,1,22,18,18,15,6,18
16,9,17,17,12,17,17,1,1,2,17,1,1,3,17
13,1,14,14,9,14,14,1,1,1,14,14,1,16,14
16,18,1,17,12,17,17,1,1,3,17,1,3,1,17
26,1,1,26,21,26,26,1,1,1,27,26,10,22,26
13,15,6,6,9,6,14,1,1,6,14,1,6,1,14
1,1,23,23,1,23,23,1,1,1,23,1,6,1,23
34,36,9,33,27,9,9,20,31,36,9,9,35,5,9
4,36,6,6,27,6,33,31,31,36,6,1,35,1,6
22,21,23,23,18,23,5,1,13,21,23,1,1,21,23
22,1,23,23,18,23,23,1,1,1,23,23,1,6,23
13,3,14,14,9,14,14,1,1,3,14,14,1,3,14
10,18,11,11,1,11,11,1,1,18,11,11,1,18,11
26,1,1,26,21,26,26,1,1,1,27,26,13,1,26
13,1,14,14,9,14,14,1,1,1,14,14,1,16,14
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
2,18,3,3,13,3,3,22,22,19,3,23,19,18,3
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
4,12,6,6,1,6,6,13,13,12,6,1,12,1,6
11,1,12,12,1,12,12,1,1,1,12,1,1,24,12
19,1,20,20,16,20,21,1,1,1,20,1,22,1,20
1,9,26,26,4,26,8,15,1,1,27,1,9,15,26
26,19,26,26,1,26,26,22,1,19,27,1,3,30,26
20,1,21,21,16,21,21,1,1,1,21,1,1,3,21
16,1,17,17,7,17,12,1,1,1,17,1,1,3,17
3,1,4,4,2,4,4,1,1,1,4,4,1,3,4
11,18,12,12,12,12,12,22,22,1,12,1,1,18,12
1,22,4,4,1,21,4,25,1,4,21,21,22,9,4
22,1,23,23,18,23,23,1,1,1,23,23,15,1,23
13,1,14,14,1,14,14,1,1,1,14,1,1,6,14
30,1,30,30,1,30,30,1,1,1,31,23,1,24,30
11,1,12,12,7,12,12,1,1,1,12,1,1,3,12
11,22,12,12,7,12,12,3,22,3,12,12,1,22,12
18,1,14,14,18,14,23,1,1,1,14,14,24,33,14
1,1,14,14,9,14,14,1,1,1,14,14,1,12,14
26,1,26,26,21,26,26,1,1,1,27,26,1,3,26
1,1,17,17,12,17,17,1,1,3,17,17,1,3,17
1,1,5,5,1,5,5,1,1,1,5,1,1,3,5
8,22,18,18,13,18,18,1,1,19,21,1,1,6,18
1,1,30,30,1,30,30,1,1,9,31,1,1,9,30
20,21,21,21,16,21,21,12,12,21,21,21,1,15,21
20,13,21,21,7,21,12,18,1,1,21,21,13,1,21
2,31,3,3,1,3,3,20,20,31,3,3,1,18,3
7,1,8,8,1,8,8,1,1,1,8,8,1,3,8
13,1,14,14,9,14,14,1,1,1,14,14,1,22,14
23,4,24,24,19,24,24,1,4,1,24,24,1,20,24
23,4,24,24,1,24,24,24,30,4,24,24,4,1,24
13,1,14,14,19,14,14,1,1,1,14,1,15,3,1
2,1,18,18,13,18,18,1,1,1,18,18,6,1,18
26,1,26,26,21,26,26,1,1,1,27,1,1,15,26
1,1,26,26,21,26,26,1,1,1,27,26,15,1,26
29,36,29,29,23,29,29,8,1,36,30,1,1,36,29
29,8,29,29,3,29,29,33,1,8,30,29,1,8,29
7,13,8,8,4,8,8,32,6,13,8,8,6,1,8
14,1,15,15,10,15,15,1,1,1,15,15,1,3,15
26,1,26,26,21,26,26,1,1,1,27,26,15,3,26
1,1,5,5,1,25,5,2,1,1,1,1,1,27,5
23,1,24,24,19,24,24,1,1,1,24,24,1,24,24
1,1,24,24,19,24,24,1,1,1,24,24,1,15,24
16,12,17,17,6,17,23,3,1,3,17,17,12,24,17
1,21,23,23,18,23,23,9,1,2,23,8,1,15,23
6,1,7,7,1,7,7,1,1,1,7,7,1,3,7
1,25,14,14,1,17,22,1,1,1,14,1,22,3,14
7,1,8,8,4,8,8,1,1,1,8,8,13,1,8
2,28,3,3,1,3,3,22,22,28,3,3,1,28,3
13,24,14,14,18,14,14,25,1,1,14,14,24,1,14
1,1,23,23,18,23,23,1,1,1,23,23,22,19,23
26,3,26,26,21,26,26,18,18,3,27,1,15,3,26
16,1,17,17,12,17,17,1,1,12,17,17,1,3,17
28,30,18,28,22,18,28,16,1,1,29,1,29,24,18
11,1,12,12,7,12,12,1,1,1,12,1,1,15,12
7,32,8,8,24,8,8,1,1,1,8,31,31,1,8
31,1,31,31,25,31,31,1,1,1,32,1,1,16,31
13,28,14,14,9,14,26,1,1,1,14,1,1,28,14
26,1,26,26,21,26,26,1,1,1,27,26,3,1,26
26,16,26,26,21,26,26,15,15,16,27,1,1,15,26
16,3,17,3,12,17,17,13,13,3,17,17,3,13,17
16,18,1,23,1,17,17,24,1,22,17,23,24,1,17
22,1,23,23,18,23,23,1,1,1,23,13,1,3,23
17,3,21,21,1,21,21,1,1,1,21,21,19,1,21
29,1,29,29,23,29,29,1,1,1,30,29,1,36,29
20,1,21,21,22,21,21,1,1,1,21,1,1,15,21
1,22,22,22,1,22,22,1,1,22,22,22,16,1,22
4,20,6,6,27,21,2,33,20,13,6,6,20,33,6
2,18,3,3,15,3,20,21,21,3,17,9,21,18,3
16,1,17,17,12,17,17,1,1,1,17,17,1,3,17
16,1,17,17,12,17,17,1,1,3,17,17,1,4,17
11,1,12,12,7,12,12,1,1,1,12,12,1,6,12
13,1,14,14,4,14,14,1,1,1,14,1,1,3,14
7,25,8,8,4,8,8,30,32,25,8,1,29,1,8
1,1,26,26,21,26,26,1,1,1,27,26,18,15,26
16,12,17,17,12,17,17,1,1,12,17,17,15,1,17
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
26,1,26,26,21,26,26,1,1,1,27,26,22,19,26
28,1,1,28,1,28,28,1,1,1,1,28,1,18,28
11,10,12,12,1,2,24,20,20,10,12,12,25,1,12
1,30,29,28,22,28,28,3,1,1,29,29,30,6,28
1,10,19,19,14,19,19,6,10,6,19,1,1,6,19
1,1,23,23,15,23,20,1,1,1,23,23,21,1,23
20,18,21,21,16,21,21,3,1,12,21,21,1,6,21
20,12,21,21,16,21,21,1,1,1,21,21,1,36,21
1,1,14,14,9,14,14,1,1,1,14,14,1,3,14
14,1,15,15,10,15,15,1,1,1,15,15,1,15,15
4,24,6,6,1,6,23,22,1,20,6,6,24,1,6
23,1,24,24,19,24,24,1,1,1,24,24,1,15,24
1,1,24,24,14,24,24,1,1,1,24,1,1,15,24
1,9,31,31,25,31,31,21,21,14,32,31,1,6,31
2,24,3,3,18,3,3,19,19,24,3,3,24,1,3
31,22,31,31,16,21,31,27,22,27,32,1,22,1,31
26,1,26,26,21,26,26,1,1,1,27,1,1,3,26
16,1,17,17,12,17,17,1,1,1,17,17,3,1,17
16,3,17,17,12,17,3,1,1,3,17,1,18,15,3
22,1,23,23,1,23,23,1,1,1,23,23,4,3,23
8,10,1,6,18,23,9,20,20,6,9,6,6,20,9
19,1,1,20,1,20,20,1,1,1,1,20,1,3,20
26,28,1,26,21,26,26,1,1,1,27,26,1,3,26
26,1,1,26,21,26,26,1,1,1,27,1,1,3,26
4,20,6,6,1,6,6,11,1,1,6,1,1,20,6
26,1,26,26,21,26,26,1,1,1,27,1,6,15,26
11,1,12,12,7,12,12,1,1,1,12,12,1,15,12
13,24,14,14,1,14,14,21,21,24,14,14,1,24,14
7,1,8,8,4,8,8,1,1,1,8,8,15,32,8
20,19,21,21,16,21,21,1,1,19,21,21,1,3,21
28,23,28,28,22,28,22,1,1,1,29,28,23,15,28
1,23,29,29,23,29,29,1,1,1,30,1,1,33,29
28,1,1,28,1,28,5,1,1,1,1,28,1,5,28
16,1,17,17,12,17,17,1,1,1,17,17,1,3,17
13,16,14,14,1,14,15,1,1,1,14,1,16,1,14
30,32,14,14,1,14,14,9,32,9,14,14,31,9,14
26,1,26,26,21,26,26,1,1,1,27,26,24,32,26
7,24,8,8,18,8,8,32,1,1,8,8,24,1,8
1,1,13,13,8,13,13,1,1,1,13,13,3,15,13
20,1,21,21,16,21,21,1,1,1,21,21,12,1,21
4,15,6,6,1,31,14,3,9,33,6,31,15,1,6
1,1,15,15,10,15,15,1,1,1,15,15,1,15,15
22,25,23,23,18,23,23,1,1,1,23,1,22,18,23
9,1,10,10,5,10,10,1,1,1,10,10,26,1,10
13,1,14,14,13,14,14,1,1,1,14,14,19,32,14
1,1,28,28,22,28,28,1,1,1,29,28,1,33,28
7,32,8,3,1,8,3,3,1,1,3,1,3,1,8
1,14,31,31,1,31,31,1,1,14,32,31,1,15,31
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
26,1,26,26,21,26,26,1,1,1,27,26,6,1,26
26,19,26,26,21,26,15,15,1,19,27,26,16,19,26
4,14,6,6,1,13,13,21,1,1,6,6,14,1,6
1,1,14,14,9,14,14,1,1,1,14,1,1,6,14
26,28,14,26,21,26,22,1,1,28,14,1,18,15,26
16,31,17,17,12,17,17,12,12,16,17,17,1,3,17
26,1,26,26,21,26,26,1,1,1,27,1,21,15,26
13,16,14,14,1,14,14,1,1,6,14,14,16,1,14
22,32,23,23,18,23,23,26,1,2,23,23,1,15,23
20,1,21,21,13,21,21,1,1,1,21,21,1,19,21
